x1,x2,y
0.443669,0.525121,0
2.10956,0.211013,1.06535e+09
1.38425,-0.722684,1.06535e+09
-0.488617,0.490313,0
-0.080638,0.836453,0
-0.327333,0.842288,0
-0.180865,-0.236303,1.06535e+09
0.495718,0.787024,0
0.748014,-0.346969,1.06535e+09
1.91406,0.535468,1.06535e+09
0.643389,1.1995,0
2.43513,-0.103397,1.06535e+09
0.184449,1.10987,0
0.821027,0.988027,0
1.31547,-0.10611,1.06535e+09
1.5537,-0.468389,1.06535e+09
0.903111,0.020633,0
0.886664,0.402399,0
0.215082,0.712134,0
-0.105687,-0.255181,1.06535e+09
0.432986,0.1573,0
-0.126018,1.09768,0
0.576509,0.594967,0
1.77704,-1.16229,1.06535e+09
0.213088,1.41347,0
0.645524,-0.958844,1.06535e+09
-0.096034,1.05321,0
1.8121,0.477922,1.06535e+09
-1.56365,1.12851,0
-0.54343,0.641015,0
1.66154,-0.41487,1.06535e+09
0.686187,0.374945,0
0.214751,0.34255,0
0.151899,-0.087605,0
-1.4554,0.190381,0
1.04585,-0.096752,0
0.03941,-0.732985,1.06535e+09
1.73874,-0.601408,1.06535e+09
0.259132,-0.162545,0
0.527479,0.729782,0
2.01356,-0.371417,1.06535e+09
0.607212,-0.397685,1.06535e+09
0.746401,-0.761724,1.06535e+09
1.85218,0.399481,1.06535e+09
2.11661,-0.430085,1.06535e+09
0.145493,0.066392,0
0.392647,0.751851,0
1.48144,-0.104068,1.06535e+09
1.62294,0.068873,1.06535e+09
0.850688,0.37308,0
0.770043,-0.445229,1.06535e+09
1.07894,0.746731,0
-1.26561,0.368347,0
1.06547,-0.542744,1.06535e+09
1.93107,-0.445445,1.06535e+09
-1.45422,0.119762,0
0.168239,-0.43095,1.06535e+09
-0.001025,0.852563,0
0.892596,0.447471,0
-1.62255,0.157051,0
0.741441,0.852256,0
0.600826,0.275499,0
0.301763,0.096297,0
0.961603,0.901491,0
1.01773,-0.150828,0
-0.144833,0.49909,0
1.06839,-0.506485,1.06535e+09
-0.98567,0.902275,0
0.457552,0.48016,0
0.287582,0.656163,0
-0.773106,0.676743,0
0.682707,0.486333,0
2.00514,0.582459,1.06535e+09
-0.59547,0.487418,0
-0.089228,0.481221,0
-0.419958,0.758021,0
-0.076654,0.822603,0
0.118991,0.561397,0
0.384652,1.31516,0
1.92619,0.719622,1.06535e+09
0.381958,0.855741,0
0.764734,0.348686,0
0.401228,-0.432792,1.06535e+09
-1.16578,0.411454,0
0.033815,-0.086384,0
-0.322468,-0.093035,0
0.594708,0.469868,0
0.348194,-0.858827,1.06535e+09
1.80332,-0.151885,1.06535e+09
-0.113689,0.605523,0
1.12458,-0.398822,0
1.38977,-0.252236,1.06535e+09
1.00834,0.506746,0
1.09392,0.219798,0
0.531973,0.362312,0
-0.255655,0.845772,0
-0.781125,0.558474,0
0.282589,-0.925538,1.06535e+09
-0.729311,0.683215,0
1.71309,-0.854651,1.06535e+09
0.04464,1.10152,0
0.551404,1.13995,0
0.522867,0.169157,0
1.58876,-0.657181,1.06535e+09
1.99764,0.022015,1.06535e+09
-0.395735,0.663561,0
1.43104,0.061628,0
0.095313,0.504985,0
-0.209743,0.861598,0
1.12272,-0.142261,0
0.142195,1.68851,0
-0.636802,0.609565,0
-0.534379,0.950542,0
0.897026,-0.257874,1.06535e+09
0.07716,-0.617731,1.06535e+09
-1.27182,0.095504,0
1.77716,0.442959,1.06535e+09
-0.539306,-0.069132,0
1.41795,0.066514,0
1.73837,0.3989,1.06535e+09
0.56794,-0.220999,1.06535e+09
0.165901,-0.440537,1.06535e+09
0.715968,0.460221,0
0.222778,-0.331123,1.06535e+09
-1.23704,0.280811,0
0.233979,0.488792,0
2.12315,0.388822,1.06535e+09
2.33613,0.225456,1.06535e+09
1.93208,0.512445,1.06535e+09
2.24667,0.334749,1.06535e+09
1.24793,0.021908,1.06535e+09
0.236475,0.514839,0
-0.590597,1.15562,0
1.21593,-0.177627,1.06535e+09
-1.2816,0.748854,0
0.265693,-0.462063,1.06535e+09
1.37003,-0.165009,1.06535e+09
0.068419,0.863594,0
-0.56291,0.672997,0
0.26482,-0.202334,1.06535e+09
1.23955,-0.084395,0
0.324418,1.1562,0
0.297766,-0.111681,0
0.571573,-0.474733,1.06535e+09
0.6893,0.022569,0
-0.959101,0.76599,0
1.01608,-0.939444,1.06535e+09
-0.46918,0.392286,0
-0.944656,0.449433,0
-0.646688,0.969889,0
-0.254935,0.31489,0
-1.02372,0.080942,0
1.93164,0.015357,1.06535e+09
0.847822,-0.308363,1.06535e+09
0.437079,0.771454,0
1.0475,-0.238374,0
1.28804,-0.353765,1.06535e+09
-0.523768,0.703562,0
-0.545541,0.386647,0
-0.038982,0.876959,0
1.10448,-0.496011,1.06535e+09
1.84389,-0.149858,1.06535e+09
-1.32944,0.065939,0
-0.290953,-0.094263,0
0.301395,-0.372135,1.06535e+09
1.27657,-0.01727,1.06535e+09
-0.286323,1.71677,0
-1.46915,0.230622,0
-0.508292,0.870027,0
1.50882,-0.046796,1.06535e+09
0.407232,-0.151336,0
2.43472,0.165352,1.06535e+09
-0.625653,0.763455,0
0.54795,0.406657,0
-0.31,0.683086,0
1.41212,-0.190184,1.06535e+09
1.58514,0.023846,1.06535e+09
-0.125187,0.763325,1.06535e+09
2.01436,0.108665,1.06535e+09
0.43759,-0.61713,1.06535e+09
-0.486176,0.627719,0
0.297223,1.55366,0
0.967281,0.26668,0
0.289877,0.416528,0
1.52178,-0.249747,1.06535e+09
-0.904057,0.998796,0
1.82557,0.292065,1.06535e+09
0.875909,-0.342617,1.06535e+09
1.41184,-0.376301,0
0.800859,-0.183788,1.06535e+09
1.37682,0.192031,0
-0.700163,0.64313,0
-0.326882,0.417243,0
0.674677,-0.322805,1.06535e+09
-1.27794,1.00909,0
2.02882,-0.046898,1.06535e+09
0.069215,-0.907578,1.06535e+09
-0.486438,0.895723,0
0.363075,-0.767441,1.06535e+09
0.168087,1.31437,0
