x1,x2,y
-0.760075,0.815225,0
0.843372,0.52004,0
0.141104,0.684023,1.06535e+09
-0.122873,-0.022685,0
0.659874,0.362048,1.06535e+09
-0.276922,1.07311,0
0.862594,-0.09171,1.06535e+09
0.215093,0.081444,0
-1.16651,-0.903649,0
-1.00386,0.022526,0
0.11597,-0.347581,1.06535e+09
0.683012,-0.852193,1.06535e+09
-0.724241,-0.28495,0
0.739959,-0.083007,1.06535e+09
-0.112661,-0.705357,1.06535e+09
1.35473,-0.011681,0
0.166584,-1.23323,1.06535e+09
0.468983,0.81958,1.06535e+09
-1.42987,-0.775983,0
-0.678827,0.812825,0
-0.414652,-0.263242,0
-0.278608,1.14872,0
-0.305237,-1.43004,0
0.318077,-0.858302,1.06535e+09
0.84625,0.582331,0
0.281851,0.259711,1.06535e+09
-0.43702,-1.03592,1.06535e+09
0.389949,-1.02111,1.06535e+09
-0.006581,-0.833509,1.06535e+09
-1.00515,-0.544986,0
-0.586989,-1.03628,1.06535e+09
0.853715,1.12993,0
-0.604102,-0.197033,0
-0.293063,0.844194,0
0.344599,0.151053,1.06535e+09
-0.14746,0.98132,1.06535e+09
1.36578,-0.233174,0
0.168638,0.335919,0
0.13942,-0.939026,1.06535e+09
-0.793309,1.02526,0
-0.511994,0.169797,0
0.602089,-0.129566,1.06535e+09
-1.17772,-0.048964,1.06535e+09
0.75495,0.411982,1.06535e+09
0.076171,0.290371,0
0.467273,-0.683167,1.06535e+09
0.068202,-0.368218,1.06535e+09
0.450795,0.749153,1.06535e+09
-0.902243,-0.527412,0
-0.98407,-0.158635,0
0.108035,0.415658,0
-0.604049,-0.424357,0
0.189189,-0.198203,1.06535e+09
-0.169773,1.57816,0
0.05543,0.206861,0
0.979101,-0.603966,1.06535e+09
-0.304588,-0.685417,1.06535e+09
-0.495173,1.24172,0
0.786006,0.498469,1.06535e+09
0.458338,1.31096,1.06535e+09
-0.669182,-0.280331,0
-0.631485,0.437831,0
-0.548448,-0.620588,1.06535e+09
